;S Clear;S 181 Congo R;S 071 Tokyo R;S 120 Deep Blue R;S 119 Dark Blue R;S 115 Peacock R;S 090 Dark Y G R;S 139 P Green R;S 101 Yellow R;S 158 Deep Orange R;S 022 Dark Amber R;S 019 Fire R;S 106 P Red R;S 126 Mauve R;S 170 Deep Lav R;S 137 Special Lav R;S 117 Steel Blue R;S 088 Lime Green R;S 156 Chocolate R;S 652 Urban Sodium R;S 111 Dark Pink R;S 200 Double CTB R;S 204 Full CTO R
488;1,060e-003;4,618e-005;4,422e-005;1,687e-004;3,119e-004;8,421e-004;1,100e-004;4,281e-005;2,058e-004;1,488e-027;1,488e-027;7,117e-006;1,488e-027;7,390e-005;4,575e-004;7,256e-004;9,969e-004;7,372e-004;1,184e-004;1,059e-004;3,126e-004;5,859e-004;3,573e-004
490;1,087e-003;4,058e-005;3,776e-005;1,532e-004;2,972e-004;8,707e-004;1,320e-004;5,754e-005;2,542e-004;1,479e-027;1,479e-027;8,422e-006;1,479e-027;6,511e-005;4,560e-004;7,222e-004;1,008e-003;8,024e-004;1,242e-004;1,101e-004;3,076e-004;5,849e-004;3,772e-004
492;1,142e-003;3,528e-005;3,231e-005;1,416e-004;2,898e-004;9,203e-004;1,590e-004;7,707e-005;3,139e-004;1,468e-027;1,468e-027;9,124e-006;1,468e-027;5,824e-005;4,672e-004;7,353e-004;1,041e-003;8,805e-004;1,339e-004;1,154e-004;3,104e-004;5,948e-004;4,068e-004
494;1,227e-003;3,097e-005;2,704e-005;1,333e-004;2,876e-004;9,925e-004;1,930e-004;1,028e-004;3,868e-004;1,455e-027;1,253e-007;1,012e-005;1,455e-027;5,302e-005;4,869e-004;7,637e-004;1,099e-003;9,772e-004;1,479e-004;1,238e-004;3,196e-004;6,160e-004;4,483e-004
496;1,356e-003;2,817e-005;2,367e-005;1,265e-004;2,898e-004;1,098e-003;2,403e-004;1,399e-004;4,895e-004;1,437e-027;2,142e-007;1,183e-005;1,437e-027;4,762e-005;5,217e-004;8,126e-004;1,192e-003;1,106e-003;1,686e-004;1,365e-004;3,370e-004;6,491e-004;5,076e-004
498;1,511e-003;2,440e-005;1,982e-005;1,218e-004;2,964e-004;1,222e-003;2,945e-004;1,858e-004;6,054e-004;1,418e-027;1,073e-006;1,448e-005;1,418e-027;4,334e-005;5,647e-004;8,746e-004;1,306e-003;1,250e-003;1,941e-004;1,496e-004;3,588e-004;6,894e-004;5,777e-004
500;1,697e-003;2,160e-005;1,662e-005;1,196e-004;3,071e-004;1,368e-003;3,594e-004;2,447e-004;7,455e-004;2,867e-007;2,433e-006;1,774e-005;1,401e-027;3,895e-005;6,163e-004;9,491e-004;1,449e-003;1,421e-003;2,261e-004;1,668e-004;3,833e-004;7,371e-004;6,640e-004
502;1,912e-003;1,854e-005;1,405e-005;1,172e-004;3,179e-004;1,534e-003;4,364e-004;3,172e-004;9,097e-004;1,892e-006;3,344e-006;2,037e-005;1,383e-027;3,522e-005;6,750e-004;1,033e-003;1,617e-003;1,617e-003;2,667e-004;1,852e-004;4,121e-004;7,892e-004;7,633e-004
504;2,151e-003;1,660e-005;1,163e-005;1,143e-004;3,291e-004;1,718e-003;5,228e-004;4,062e-004;1,099e-003;3,071e-006;4,767e-006;2,492e-005;1,361e-027;3,119e-005;7,377e-004;1,121e-003;1,806e-003;1,836e-003;3,151e-004;2,072e-004;4,423e-004;8,436e-004;8,773e-004
506;2,412e-003;1,475e-005;8,716e-006;1,104e-004;3,391e-004;1,918e-003;6,190e-004;5,109e-004;1,314e-003;5,165e-006;7,391e-006;2,992e-005;1,341e-027;2,635e-005;8,042e-004;1,214e-003;2,018e-003;2,079e-003;3,728e-004;2,295e-004;4,743e-004;8,994e-004;1,006e-003
